#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
43000,-56061.853271484375,16929.90625,346.4987144286679,418
43500,-56232.874267578125,17555.27734375,359.29797491041006,418
44000,-56326.35400390625,17611.724609375,360.45326216854687,418
44500,-56525.05908203125,17369.4140625,355.4939734551381,418
45000,-55995.77392578125,17083.2421875,349.63698964619687,418
45500,-56455.948974609375,17567.537109375,359.5488914226181,418
46000,-56269.24609375,17431.337890625,356.76134768160864,418
46500,-56423.637939453125,17224.234375,352.5226294714757,418
47000,-56070.29833984375,16868.3984375,345.23985465449937,418
47500,-55738.68859863281,17376.353515625,355.63600091536983,418
48000,-56467.4853515625,17314.775390625,354.3757020788404,418
48500,-56774.705322265625,17279.22265625,353.6480561856234,418
49000,-56456.84375,17719.037109375,362.64959112294537,418
49500,-56531.3505859375,17263.08203125,353.31771142588354,418
50000,-56069.810546875,17188.2421875,351.7859894385029,418
